12,ARPICO SHOWROOM                                   ,0,0, ,3,No   69                                           ,HYDE PARK                                         ,COLOMBO 2                                         ,0,MR.J.SAVER                                                            ,11111
13,RUAINS ENTERPRISES                                ,11111111       ,0, ,3,No 29                                             ,SUPER MARKET BUILDING                             ,WENNAPUWA.                                        ,0,MR.SHAMMI FONSEKA                                                     ,11111111       
14,DFCC BANK SAME DAY SVCS CMB-2                     ,11111111       ,0, ,3,No W.A.D R                                        ,COLOMBO 2                                         ,A                                                 ,0,THE ACCOUN                                                            ,11111111       
15,LARFARGE MAHAWELI CEMENT  (PVT) LTD               ,11111111       ,0, ,3,"NO 413 , R A DE MEL MAWATHA                       ",COLOMBO 03                                        ,                                                  ,0,SARIDA PEIRIS                                                         ,11111111       
16,RICHARD PIERIS DISTRIBUTORS LTD                   ,11111111       ,0, ,3,No 310                                            ,High Level Road                                   ,Nawinna Maharagama                                ,0,THE ACCOUNTANT                                                        ,11111111       
17,FASHION OPTIC                                     ,2573444        ,0, ,3,38,FLOWER ROAD                                       ,COLOMBO 3                                         ,0,THE ACCOUNTANT(MS WARREN)                                             ,2573444        
18,CASH SALES -GALLE BRANCH                          ,V              ,0, ,3,GALLE                                             ,                                                  ,                                                  ,0,MR.PRASAD                                                             ,V              
19,GREENLANKA SHIPPING LTD                           ,437282-5       ,0, ,3,NAWAM MAWATHA                                     ,COLOMBO 02                                        ,                                                  ,0,MR AUGUSTINTANT                                                       ,437282-5       
20,CASH SALES - MATARA                               ,V              ,0, ,3,MATARA                                            ,                                                  ,                                                  ,0,MR.DHARMASIRI                                                         ,V              
21,COMMERCIAL BANK C3                                ,573546/575448  ,0, ,3,No 285                                            ,GALLE ROAD                                        ,COLOMBO 03                                        ,0,THE MANAGER                                                           ,573546/575448  
22,IML (PVT) LTD                                     ,337770         ,0, ,3,UPS HOUSE                                         ,UNION PLACE                                       ,COLOMBO 2                                         ,0,                                                                      ,337770         
23,AKZONOBEL PAINTS LANKA PVT LTD                    ,11111111       ,0, ,3,No 199                                            ,KEW ROAD                                          ,COLOMBO 02                                        ,0,THE ACCOUNTANT                                                        ,11111111       
